spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,new,4,4,3,1,4,3,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:37:52 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:37:58 GMT-0400 (Eastern Daylight Time),1641
spatiotemporal_inconsistent,same_swap,2,4,4,2,3,0,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:38:00 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:05 GMT-0400 (Eastern Daylight Time),1481
spatiotemporal_inconsistent,same_swap,3,2,2,3,2,3,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:38:07 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:12 GMT-0400 (Eastern Daylight Time),1553
spatiotemporal_inconsistent,same_swap,4,1,1,4,0,2,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:38:13 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:18 GMT-0400 (Eastern Daylight Time),1409
spatiotemporal_inconsistent,same_swap,3,4,4,3,4,1,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:38:20 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:25 GMT-0400 (Eastern Daylight Time),1561
spatiotemporal_inconsistent,same_swap,4,2,2,4,4,2,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:38:26 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:31 GMT-0400 (Eastern Daylight Time),1401
spatiotemporal_inconsistent,same_swap,2,0,0,2,3,4,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:38:32 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:37 GMT-0400 (Eastern Daylight Time),1425
spatiotemporal_inconsistent,new,1,2,3,3,0,2,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:38:39 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:44 GMT-0400 (Eastern Daylight Time),1546
spatiotemporal_inconsistent,same,2,2,0,0,3,2,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:38:45 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:50 GMT-0400 (Eastern Daylight Time),1521
spatiotemporal_inconsistent,same_swap,1,4,4,1,1,4,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:38:52 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:38:57 GMT-0400 (Eastern Daylight Time),1473
spatiotemporal_inconsistent,same,2,2,4,4,1,3,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:39:04 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:09 GMT-0400 (Eastern Daylight Time),1449
spatiotemporal_inconsistent,same,4,4,2,2,0,2,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:39:10 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:16 GMT-0400 (Eastern Daylight Time),1705
spatiotemporal_inconsistent,same,1,1,3,3,2,4,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:39:17 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:22 GMT-0400 (Eastern Daylight Time),1520
spatiotemporal_inconsistent,same,4,4,2,2,4,2,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:39:23 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:28 GMT-0400 (Eastern Daylight Time),1425
spatiotemporal_inconsistent,same,4,4,0,0,1,3,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:39:29 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:34 GMT-0400 (Eastern Daylight Time),1377
spatiotemporal_inconsistent,same,3,3,1,1,2,0,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:39:34 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:40 GMT-0400 (Eastern Daylight Time),1377
spatiotemporal_inconsistent,same_swap,2,0,0,2,0,1,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:39:40 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:45 GMT-0400 (Eastern Daylight Time),1505
spatiotemporal_inconsistent,same,1,1,3,3,2,4,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:39:46 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:51 GMT-0400 (Eastern Daylight Time),1329
spatiotemporal_inconsistent,same_swap,4,1,1,4,3,4,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:39:52 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:39:57 GMT-0400 (Eastern Daylight Time),1297
spatiotemporal_inconsistent,new,2,2,1,3,2,3,5,0,50,-50,0,Chrome,3319381,Thu Apr 18 2024 14:39:58 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:03 GMT-0400 (Eastern Daylight Time),1561
spatiotemporal_inconsistent,new,1,3,4,4,4,1,5,0,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:40:04 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:09 GMT-0400 (Eastern Daylight Time),1713
spatiotemporal_inconsistent,same,1,1,3,3,2,4,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:40:10 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:15 GMT-0400 (Eastern Daylight Time),1697
spatiotemporal_inconsistent,new,1,0,4,4,2,0,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:40:16 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:21 GMT-0400 (Eastern Daylight Time),1433
spatiotemporal_inconsistent,same_swap,4,1,1,4,4,2,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:40:22 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:28 GMT-0400 (Eastern Daylight Time),2017
spatiotemporal_inconsistent,same,0,0,3,3,2,1,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:40:29 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:35 GMT-0400 (Eastern Daylight Time),1552
spatiotemporal_inconsistent,same,0,0,3,3,2,1,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:40:35 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:40 GMT-0400 (Eastern Daylight Time),1425
spatiotemporal_inconsistent,new,3,4,2,2,3,1,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:40:41 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:46 GMT-0400 (Eastern Daylight Time),1601
spatiotemporal_inconsistent,same_swap,3,4,4,3,0,4,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:40:47 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:53 GMT-0400 (Eastern Daylight Time),1512
spatiotemporal_inconsistent,same,0,0,2,2,0,4,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:40:53 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:40:59 GMT-0400 (Eastern Daylight Time),1441
spatiotemporal_inconsistent,same,3,3,1,1,3,4,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:40:59 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:05 GMT-0400 (Eastern Daylight Time),1553
spatiotemporal_inconsistent,same,4,4,1,1,3,1,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:41:06 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:11 GMT-0400 (Eastern Daylight Time),1417
spatiotemporal_inconsistent,new,0,2,1,1,1,0,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:41:12 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:17 GMT-0400 (Eastern Daylight Time),1546
spatiotemporal_inconsistent,same_swap,4,0,0,4,2,1,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:41:18 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:23 GMT-0400 (Eastern Daylight Time),1449
spatiotemporal_inconsistent,new,2,2,4,3,1,2,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:41:24 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:29 GMT-0400 (Eastern Daylight Time),1537
spatiotemporal_inconsistent,new,3,3,1,0,4,0,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:41:30 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:35 GMT-0400 (Eastern Daylight Time),1377
spatiotemporal_inconsistent,same,0,0,3,3,4,3,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:41:36 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:41 GMT-0400 (Eastern Daylight Time),1697
spatiotemporal_inconsistent,new,2,4,1,1,3,2,0,5,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:41:42 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:47 GMT-0400 (Eastern Daylight Time),1816
spatiotemporal_inconsistent,same_swap,1,0,0,1,3,2,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:41:48 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:41:54 GMT-0400 (Eastern Daylight Time),1825
spatiotemporal_inconsistent,same_swap,1,3,3,1,1,0,0,5,50,-50,0,Chrome,3319381,Thu Apr 18 2024 14:41:54 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:42:00 GMT-0400 (Eastern Daylight Time),2144
spatiotemporal_inconsistent,same_swap,0,3,3,0,4,3,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:42:01 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:42:06 GMT-0400 (Eastern Daylight Time),1449
spatiotemporal_inconsistent,same_swap,2,4,4,2,2,1,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:42:07 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:42:12 GMT-0400 (Eastern Daylight Time),1337
spatiotemporal_inconsistent,new,2,0,1,1,1,4,0,5,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:42:13 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:42:19 GMT-0400 (Eastern Daylight Time),1728
spatiotemporal_inconsistent,new,1,3,2,2,2,1,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:42:22 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:42:27 GMT-0400 (Eastern Daylight Time),1529
spatiotemporal_inconsistent,same,0,0,3,3,2,3,5,0,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:42:29 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:42:36 GMT-0400 (Eastern Daylight Time),2545
spatiotemporal_inconsistent,same_swap,0,2,2,0,2,3,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:42:37 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:42:43 GMT-0400 (Eastern Daylight Time),2129
spatiotemporal_inconsistent,new,4,4,2,0,2,1,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:42:49 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:42:54 GMT-0400 (Eastern Daylight Time),1473
spatiotemporal_inconsistent,same,3,3,4,4,3,4,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:42:55 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:01 GMT-0400 (Eastern Daylight Time),1657
spatiotemporal_inconsistent,same,3,3,1,1,1,4,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:43:02 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:07 GMT-0400 (Eastern Daylight Time),1425
spatiotemporal_inconsistent,new,2,2,1,0,2,4,5,0,50,-50,0,Chrome,3319381,Thu Apr 18 2024 14:43:08 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:14 GMT-0400 (Eastern Daylight Time),1624
spatiotemporal_inconsistent,new,3,3,1,0,1,4,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:43:15 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:20 GMT-0400 (Eastern Daylight Time),1584
spatiotemporal_inconsistent,new,4,1,2,2,3,1,0,5,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:43:22 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:27 GMT-0400 (Eastern Daylight Time),1817
spatiotemporal_inconsistent,same_swap,2,4,4,2,3,0,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:43:29 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:34 GMT-0400 (Eastern Daylight Time),1576
spatiotemporal_inconsistent,same,4,4,0,0,1,3,0,5,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:43:35 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:41 GMT-0400 (Eastern Daylight Time),1697
spatiotemporal_inconsistent,same,4,4,3,3,4,1,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:43:43 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:48 GMT-0400 (Eastern Daylight Time),1480
spatiotemporal_inconsistent,new,0,0,1,2,4,0,0,5,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:43:49 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:43:54 GMT-0400 (Eastern Daylight Time),1840
spatiotemporal_inconsistent,new,4,3,1,1,1,0,5,0,50,-50,1,Chrome,3319381,Thu Apr 18 2024 14:43:56 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:01 GMT-0400 (Eastern Daylight Time),1552
spatiotemporal_inconsistent,new,2,2,3,1,3,4,5,0,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:44:02 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:08 GMT-0400 (Eastern Daylight Time),1937
spatiotemporal_inconsistent,same,0,0,3,3,4,3,0,5,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:44:09 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:14 GMT-0400 (Eastern Daylight Time),1416
spatiotemporal_inconsistent,same_swap,3,4,4,3,4,3,0,5,50,-50,0,Chrome,3319381,Thu Apr 18 2024 14:44:15 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:21 GMT-0400 (Eastern Daylight Time),1793
spatiotemporal_inconsistent,same,0,0,1,1,2,0,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:44:22 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:28 GMT-0400 (Eastern Daylight Time),1729
spatiotemporal_inconsistent,same,3,3,4,4,4,2,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:44:29 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:35 GMT-0400 (Eastern Daylight Time),2440
spatiotemporal_inconsistent,new,1,4,0,0,1,4,5,0,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:44:36 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:42 GMT-0400 (Eastern Daylight Time),1826
spatiotemporal_inconsistent,same_swap,2,3,3,2,0,1,5,0,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:44:43 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:49 GMT-0400 (Eastern Daylight Time),2202
spatiotemporal_inconsistent,new,1,2,4,4,2,3,0,5,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:44:50 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:44:56 GMT-0400 (Eastern Daylight Time),1657
spatiotemporal_inconsistent,new,2,3,0,0,3,0,0,5,-50,50,0,Chrome,3319381,Thu Apr 18 2024 14:44:57 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:45:02 GMT-0400 (Eastern Daylight Time),1689
spatiotemporal_inconsistent,same_swap,3,1,1,3,3,4,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:45:03 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:45:09 GMT-0400 (Eastern Daylight Time),2169
spatiotemporal_inconsistent,same,3,3,1,1,1,0,0,5,-50,50,1,Chrome,3319381,Thu Apr 18 2024 14:45:10 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2024 14:45:16 GMT-0400 (Eastern Daylight Time),1792
