spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,new,1,1,2,3,3,4,0,15,-50,50,0,Chrome,1047149,Fri Dec 01 2023 09:10:51 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:10:57 GMT-0500 (Eastern Standard Time),2378
spatiotemporal_inconsistent,same_swap,0,2,2,0,2,1,0,15,-50,50,1,Chrome,1047149,Fri Dec 01 2023 09:10:58 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:11:04 GMT-0500 (Eastern Standard Time),2342
spatiotemporal_inconsistent,new,1,0,2,2,0,4,15,0,50,-50,1,Chrome,1047149,Fri Dec 01 2023 09:11:06 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:11:12 GMT-0500 (Eastern Standard Time),2439
spatiotemporal_inconsistent,new,2,3,1,1,1,3,15,0,-50,50,0,Chrome,1047149,Fri Dec 01 2023 09:11:17 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:11:23 GMT-0500 (Eastern Standard Time),2251
spatiotemporal_inconsistent,new,1,1,4,3,1,0,0,15,-50,50,0,Chrome,1047149,Fri Dec 01 2023 09:11:24 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:11:30 GMT-0500 (Eastern Standard Time),2185
spatiotemporal_inconsistent,new,3,3,0,4,4,0,15,0,-50,50,1,Chrome,1047149,Fri Dec 01 2023 09:11:32 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:11:38 GMT-0500 (Eastern Standard Time),2693
spatiotemporal_inconsistent,same,4,4,0,0,0,1,0,15,50,-50,1,Chrome,1047149,Fri Dec 01 2023 09:11:40 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:11:46 GMT-0500 (Eastern Standard Time),2264
spatiotemporal_inconsistent,new,1,4,2,2,1,4,0,15,-50,50,1,Chrome,1047149,Fri Dec 01 2023 09:11:47 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:11:53 GMT-0500 (Eastern Standard Time),2106
spatiotemporal_inconsistent,same_swap,0,4,4,0,1,4,15,0,50,-50,1,Chrome,1047149,Fri Dec 01 2023 09:11:54 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:12:00 GMT-0500 (Eastern Standard Time),2283
spatiotemporal_inconsistent,same,2,2,4,4,2,1,15,0,-50,50,1,Chrome,1047149,Fri Dec 01 2023 09:12:01 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:12:07 GMT-0500 (Eastern Standard Time),2240
