spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same_swap,2,1,1,2,2,0,-50,50,0,Chrome,19750,Fri Dec 01 2023 13:47:02 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:47:07 GMT-0500 (Eastern Standard Time),1320
spatiotemporal_inconsistent,new,2,2,3,0,1,0,-50,50,1,Chrome,19750,Fri Dec 01 2023 13:47:14 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:47:20 GMT-0500 (Eastern Standard Time),1432
spatiotemporal_inconsistent,same,2,2,0,0,1,0,50,-50,0,Chrome,19750,Fri Dec 01 2023 13:47:23 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:47:27 GMT-0500 (Eastern Standard Time),1088
spatiotemporal_inconsistent,same_swap,4,0,0,4,3,1,50,-50,0,Chrome,19750,Fri Dec 01 2023 13:47:31 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:47:38 GMT-0500 (Eastern Standard Time),3000
spatiotemporal_inconsistent,new,1,4,3,3,3,4,-50,50,0,Chrome,19750,Fri Dec 01 2023 13:47:40 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:47:45 GMT-0500 (Eastern Standard Time),1231
spatiotemporal_inconsistent,same_swap,1,2,2,1,4,1,50,-50,1,Chrome,19750,Fri Dec 01 2023 13:47:47 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:47:52 GMT-0500 (Eastern Standard Time),1368
spatiotemporal_inconsistent,new,0,4,3,3,1,0,50,-50,1,Chrome,19750,Fri Dec 01 2023 13:47:53 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:48:01 GMT-0500 (Eastern Standard Time),4584
spatiotemporal_inconsistent,same_swap,2,4,4,2,2,3,50,-50,1,Chrome,19750,Fri Dec 01 2023 13:48:11 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:48:17 GMT-0500 (Eastern Standard Time),2032
spatiotemporal_inconsistent,new,2,2,4,0,2,1,-50,50,1,Chrome,19750,Fri Dec 01 2023 13:48:18 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:48:26 GMT-0500 (Eastern Standard Time),4184
spatiotemporal_inconsistent,new,2,0,1,1,3,0,-50,50,0,Chrome,19750,Fri Dec 01 2023 13:48:28 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:48:33 GMT-0500 (Eastern Standard Time),1568
spatiotemporal_inconsistent,same_swap,2,4,4,2,2,4,50,-50,0,Chrome,19750,Fri Dec 01 2023 13:48:34 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:48:39 GMT-0500 (Eastern Standard Time),1416
spatiotemporal_inconsistent,new,1,1,4,3,3,2,50,-50,0,Chrome,19750,Fri Dec 01 2023 13:48:42 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:48:48 GMT-0500 (Eastern Standard Time),1400
spatiotemporal_inconsistent,same,1,1,0,0,3,2,50,-50,0,Chrome,19750,Fri Dec 01 2023 13:48:50 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:48:56 GMT-0500 (Eastern Standard Time),2136
spatiotemporal_inconsistent,same_swap,2,4,4,2,0,4,-50,50,0,Chrome,19750,Fri Dec 01 2023 13:49:03 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:49:08 GMT-0500 (Eastern Standard Time),1168
spatiotemporal_inconsistent,same_swap,0,3,3,0,3,1,-50,50,0,Chrome,19750,Fri Dec 01 2023 13:49:13 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:49:18 GMT-0500 (Eastern Standard Time),968
spatiotemporal_inconsistent,same_swap,1,0,0,1,1,0,50,-50,0,Chrome,19750,Fri Dec 01 2023 13:49:21 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:49:27 GMT-0500 (Eastern Standard Time),2432
spatiotemporal_inconsistent,same_swap,2,4,4,2,3,0,-50,50,0,Chrome,19750,Fri Dec 01 2023 13:49:45 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:49:49 GMT-0500 (Eastern Standard Time),1080
spatiotemporal_inconsistent,new,1,1,4,0,0,4,50,-50,1,Chrome,19750,Fri Dec 01 2023 13:49:53 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:49:58 GMT-0500 (Eastern Standard Time),1512
spatiotemporal_inconsistent,new,4,0,3,3,2,3,-50,50,1,Chrome,19750,Fri Dec 01 2023 13:50:00 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:50:04 GMT-0500 (Eastern Standard Time),1064
spatiotemporal_inconsistent,new,4,4,1,2,0,1,-50,50,1,Chrome,19750,Fri Dec 01 2023 13:50:23 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:50:29 GMT-0500 (Eastern Standard Time),2744
spatiotemporal_inconsistent,same,0,0,1,1,1,2,50,-50,1,Chrome,19750,Fri Dec 01 2023 13:50:31 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 13:50:36 GMT-0500 (Eastern Standard Time),1471
