spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,new,0,4,3,3,0,3,0,15,50,-50,1,Chrome,354149,Fri Dec 01 2023 09:14:09 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:14:14 GMT-0500 (Eastern Standard Time),1521
spatiotemporal_inconsistent,new,2,2,4,1,1,3,0,15,50,-50,0,Chrome,354149,Fri Dec 01 2023 09:14:16 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:14:22 GMT-0500 (Eastern Standard Time),2242
spatiotemporal_inconsistent,same,1,1,4,4,3,4,0,15,50,-50,1,Chrome,354149,Fri Dec 01 2023 09:14:24 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:14:29 GMT-0500 (Eastern Standard Time),1609
spatiotemporal_inconsistent,same,2,2,1,1,1,2,15,0,50,-50,1,Chrome,354149,Fri Dec 01 2023 09:14:30 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:14:36 GMT-0500 (Eastern Standard Time),1785
spatiotemporal_inconsistent,same,3,3,4,4,4,0,15,0,50,-50,1,Chrome,354149,Fri Dec 01 2023 09:14:39 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:14:44 GMT-0500 (Eastern Standard Time),1625
spatiotemporal_inconsistent,new,0,0,2,1,0,1,15,0,50,-50,1,Chrome,354149,Fri Dec 01 2023 09:14:45 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:14:50 GMT-0500 (Eastern Standard Time),1377
spatiotemporal_inconsistent,same_swap,4,0,0,4,3,2,0,15,-50,50,1,Chrome,354149,Fri Dec 01 2023 09:14:53 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:14:58 GMT-0500 (Eastern Standard Time),1922
spatiotemporal_inconsistent,same_swap,1,0,0,1,0,2,0,15,-50,50,1,Chrome,354149,Fri Dec 01 2023 09:15:00 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:15:05 GMT-0500 (Eastern Standard Time),1665
spatiotemporal_inconsistent,new,2,1,3,3,4,2,15,0,50,-50,0,Chrome,354149,Fri Dec 01 2023 09:15:06 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:15:12 GMT-0500 (Eastern Standard Time),2265
spatiotemporal_inconsistent,same,4,4,3,3,4,0,0,15,-50,50,1,Chrome,354149,Fri Dec 01 2023 09:15:13 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:15:19 GMT-0500 (Eastern Standard Time),1881
