spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same_swap,0,1,1,0,4,3,0,15,-50,50,0,Chrome,9887366,Fri Dec 01 2023 09:56:35 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:56:41 GMT-0500 (Eastern Standard Time),1738
spatiotemporal_inconsistent,same,2,2,0,0,0,1,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:56:41 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:56:46 GMT-0500 (Eastern Standard Time),1322
spatiotemporal_inconsistent,new,0,4,2,2,0,2,15,0,-50,50,0,Chrome,9887366,Fri Dec 01 2023 09:56:48 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:56:53 GMT-0500 (Eastern Standard Time),1474
spatiotemporal_inconsistent,new,3,3,1,0,0,2,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 09:56:54 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:00 GMT-0500 (Eastern Standard Time),2295
spatiotemporal_inconsistent,new,4,4,3,0,4,1,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 09:57:00 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:05 GMT-0500 (Eastern Standard Time),1360
spatiotemporal_inconsistent,same,4,4,0,0,1,3,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 09:57:07 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:12 GMT-0500 (Eastern Standard Time),1280
spatiotemporal_inconsistent,same_swap,1,4,4,1,3,4,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:57:13 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:18 GMT-0500 (Eastern Standard Time),1354
spatiotemporal_inconsistent,same_swap,0,2,2,0,0,1,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:57:20 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:26 GMT-0500 (Eastern Standard Time),2232
spatiotemporal_inconsistent,new,1,3,2,2,0,1,15,0,-50,50,0,Chrome,9887366,Fri Dec 01 2023 09:57:28 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:35 GMT-0500 (Eastern Standard Time),2331
spatiotemporal_inconsistent,same_swap,0,2,2,0,3,1,15,0,-50,50,0,Chrome,9887366,Fri Dec 01 2023 09:57:36 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:41 GMT-0500 (Eastern Standard Time),1289
spatiotemporal_inconsistent,new,4,0,1,1,3,0,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 09:57:43 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:49 GMT-0500 (Eastern Standard Time),1928
spatiotemporal_inconsistent,same_swap,3,1,1,3,0,2,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:57:50 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:57:57 GMT-0500 (Eastern Standard Time),3000
spatiotemporal_inconsistent,same_swap,2,3,3,2,3,4,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 09:57:58 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:03 GMT-0500 (Eastern Standard Time),1408
spatiotemporal_inconsistent,new,1,3,4,4,2,3,15,0,50,-50,0,Chrome,9887366,Fri Dec 01 2023 09:58:04 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:09 GMT-0500 (Eastern Standard Time),1848
spatiotemporal_inconsistent,same,0,0,3,3,2,0,15,0,50,-50,1,Chrome,9887366,Fri Dec 01 2023 09:58:11 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:16 GMT-0500 (Eastern Standard Time),1672
spatiotemporal_inconsistent,same,3,3,1,1,4,2,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:58:17 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:22 GMT-0500 (Eastern Standard Time),1603
spatiotemporal_inconsistent,same,1,1,4,4,3,0,15,0,50,-50,1,Chrome,9887366,Fri Dec 01 2023 09:58:23 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:29 GMT-0500 (Eastern Standard Time),1560
spatiotemporal_inconsistent,same_swap,1,0,0,1,3,4,15,0,50,-50,1,Chrome,9887366,Fri Dec 01 2023 09:58:30 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:36 GMT-0500 (Eastern Standard Time),1664
spatiotemporal_inconsistent,same_swap,4,2,2,4,1,4,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:58:37 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:42 GMT-0500 (Eastern Standard Time),1568
spatiotemporal_inconsistent,same_swap,4,1,1,4,4,2,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 09:58:43 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:48 GMT-0500 (Eastern Standard Time),1352
spatiotemporal_inconsistent,new,0,1,4,4,4,0,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 09:58:49 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:58:54 GMT-0500 (Eastern Standard Time),1664
spatiotemporal_inconsistent,new,1,1,3,4,4,0,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 09:58:55 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:00 GMT-0500 (Eastern Standard Time),1872
spatiotemporal_inconsistent,same,1,1,4,4,2,0,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:59:01 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:06 GMT-0500 (Eastern Standard Time),1495
spatiotemporal_inconsistent,new,4,4,1,3,2,0,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:59:07 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:12 GMT-0500 (Eastern Standard Time),1457
spatiotemporal_inconsistent,same,4,4,2,2,1,0,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:59:13 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:19 GMT-0500 (Eastern Standard Time),2232
spatiotemporal_inconsistent,same,0,0,3,3,3,2,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:59:20 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:26 GMT-0500 (Eastern Standard Time),2407
spatiotemporal_inconsistent,same,1,1,4,4,4,1,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 09:59:27 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:33 GMT-0500 (Eastern Standard Time),1994
spatiotemporal_inconsistent,new,4,4,2,0,3,4,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 09:59:34 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:40 GMT-0500 (Eastern Standard Time),2752
spatiotemporal_inconsistent,new,2,2,1,0,2,0,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:59:41 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:47 GMT-0500 (Eastern Standard Time),2592
spatiotemporal_inconsistent,new,3,2,0,0,4,3,0,15,-50,50,0,Chrome,9887366,Fri Dec 01 2023 09:59:48 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 09:59:54 GMT-0500 (Eastern Standard Time),1721
spatiotemporal_inconsistent,same,2,2,0,0,2,3,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 09:59:55 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:02 GMT-0500 (Eastern Standard Time),3575
spatiotemporal_inconsistent,same_swap,4,1,1,4,1,4,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:00:03 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:09 GMT-0500 (Eastern Standard Time),2401
spatiotemporal_inconsistent,same,1,1,0,0,0,4,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:00:10 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:16 GMT-0500 (Eastern Standard Time),2168
spatiotemporal_inconsistent,new,4,3,2,2,4,0,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:00:17 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:22 GMT-0500 (Eastern Standard Time),1503
spatiotemporal_inconsistent,new,4,4,1,0,3,1,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:00:23 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:28 GMT-0500 (Eastern Standard Time),1968
spatiotemporal_inconsistent,same_swap,4,3,3,4,3,0,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:00:34 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:39 GMT-0500 (Eastern Standard Time),1536
spatiotemporal_inconsistent,new,4,4,3,1,2,1,0,15,-50,50,0,Chrome,9887366,Fri Dec 01 2023 10:00:40 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:46 GMT-0500 (Eastern Standard Time),2232
spatiotemporal_inconsistent,same,4,4,2,2,1,3,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:00:47 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:52 GMT-0500 (Eastern Standard Time),1682
spatiotemporal_inconsistent,new,0,2,3,3,1,0,15,0,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:00:53 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:00:59 GMT-0500 (Eastern Standard Time),1858
spatiotemporal_inconsistent,same,0,0,4,4,0,2,0,15,-50,50,0,Chrome,9887366,Fri Dec 01 2023 10:01:01 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:01:06 GMT-0500 (Eastern Standard Time),1865
spatiotemporal_inconsistent,new,4,2,0,0,3,4,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:01:07 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:01:13 GMT-0500 (Eastern Standard Time),1503
spatiotemporal_inconsistent,same,0,0,4,4,3,4,15,0,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:01:14 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:01:21 GMT-0500 (Eastern Standard Time),3776
spatiotemporal_inconsistent,new,1,1,4,2,2,3,15,0,-50,50,0,Chrome,9887366,Fri Dec 01 2023 10:01:24 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:01:29 GMT-0500 (Eastern Standard Time),1768
spatiotemporal_inconsistent,same_swap,4,3,3,4,3,0,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:01:30 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:01:36 GMT-0500 (Eastern Standard Time),2055
spatiotemporal_inconsistent,same_swap,3,0,0,3,2,3,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:01:37 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:01:43 GMT-0500 (Eastern Standard Time),2120
spatiotemporal_inconsistent,new,1,1,3,4,4,0,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:01:43 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:01:49 GMT-0500 (Eastern Standard Time),2336
spatiotemporal_inconsistent,same_swap,0,2,2,0,1,2,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:01:52 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:01:58 GMT-0500 (Eastern Standard Time),2520
spatiotemporal_inconsistent,same,4,4,2,2,4,1,15,0,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:01:59 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:02:05 GMT-0500 (Eastern Standard Time),2273
spatiotemporal_inconsistent,same_swap,0,3,3,0,2,0,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:02:06 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:02:12 GMT-0500 (Eastern Standard Time),1672
spatiotemporal_inconsistent,same_swap,1,2,2,1,4,2,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:02:12 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:02:20 GMT-0500 (Eastern Standard Time),3544
spatiotemporal_inconsistent,new,3,0,4,4,1,2,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:02:20 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:02:26 GMT-0500 (Eastern Standard Time),1943
spatiotemporal_inconsistent,same,4,4,0,0,2,1,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:02:27 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:02:32 GMT-0500 (Eastern Standard Time),1912
spatiotemporal_inconsistent,same_swap,2,3,3,2,1,2,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:02:33 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:02:39 GMT-0500 (Eastern Standard Time),1904
spatiotemporal_inconsistent,same,3,3,1,1,2,0,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:02:40 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:02:46 GMT-0500 (Eastern Standard Time),2314
spatiotemporal_inconsistent,new,4,4,3,2,3,1,15,0,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:02:47 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:02:53 GMT-0500 (Eastern Standard Time),2864
spatiotemporal_inconsistent,same,0,0,2,2,0,4,15,0,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:02:54 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:00 GMT-0500 (Eastern Standard Time),2208
spatiotemporal_inconsistent,new,1,3,4,4,3,2,0,15,-50,50,0,Chrome,9887366,Fri Dec 01 2023 10:03:02 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:08 GMT-0500 (Eastern Standard Time),2664
spatiotemporal_inconsistent,same,4,4,2,2,4,3,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:03:10 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:16 GMT-0500 (Eastern Standard Time),2728
spatiotemporal_inconsistent,same,1,1,0,0,4,3,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:03:17 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:23 GMT-0500 (Eastern Standard Time),1972
spatiotemporal_inconsistent,new,0,3,2,2,3,1,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:03:24 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:30 GMT-0500 (Eastern Standard Time),2280
spatiotemporal_inconsistent,same,2,2,4,4,4,1,0,15,-50,50,0,Chrome,9887366,Fri Dec 01 2023 10:03:30 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:38 GMT-0500 (Eastern Standard Time),3848
spatiotemporal_inconsistent,same_swap,4,0,0,4,4,3,15,0,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:03:39 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:46 GMT-0500 (Eastern Standard Time),3264
spatiotemporal_inconsistent,new,1,3,2,2,1,2,15,0,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:03:47 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:52 GMT-0500 (Eastern Standard Time),1832
spatiotemporal_inconsistent,same,0,0,3,3,4,1,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:03:53 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:03:58 GMT-0500 (Eastern Standard Time),1776
spatiotemporal_inconsistent,same_swap,4,3,3,4,2,1,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:03:59 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:05 GMT-0500 (Eastern Standard Time),2144
spatiotemporal_inconsistent,same_swap,0,4,4,0,0,3,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:04:07 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:13 GMT-0500 (Eastern Standard Time),2112
spatiotemporal_inconsistent,same_swap,0,3,3,0,3,2,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:04:13 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:19 GMT-0500 (Eastern Standard Time),1768
spatiotemporal_inconsistent,new,0,0,2,1,0,4,15,0,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:04:19 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:25 GMT-0500 (Eastern Standard Time),2152
spatiotemporal_inconsistent,same,4,4,1,1,1,4,0,15,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:04:26 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:32 GMT-0500 (Eastern Standard Time),1849
spatiotemporal_inconsistent,same,3,3,2,2,1,0,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:04:32 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:38 GMT-0500 (Eastern Standard Time),1664
spatiotemporal_inconsistent,same_swap,4,0,0,4,2,1,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:04:39 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:45 GMT-0500 (Eastern Standard Time),1848
spatiotemporal_inconsistent,same_swap,3,0,0,3,3,2,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:04:46 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:51 GMT-0500 (Eastern Standard Time),2176
spatiotemporal_inconsistent,same_swap,0,3,3,0,3,1,0,15,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:04:52 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:04:58 GMT-0500 (Eastern Standard Time),2328
spatiotemporal_inconsistent,new,0,0,3,1,0,4,15,0,-50,50,0,Chrome,9887366,Fri Dec 01 2023 10:04:59 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:05:04 GMT-0500 (Eastern Standard Time),1915
spatiotemporal_inconsistent,same_swap,0,4,4,0,1,0,15,0,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:05:05 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:05:11 GMT-0500 (Eastern Standard Time),1808
spatiotemporal_inconsistent,same,1,1,0,0,2,0,15,0,-50,50,1,Chrome,9887366,Fri Dec 01 2023 10:05:12 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:05:17 GMT-0500 (Eastern Standard Time),1888
spatiotemporal_inconsistent,same_swap,2,1,1,2,4,0,15,0,50,-50,1,Chrome,9887366,Fri Dec 01 2023 10:05:18 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:05:23 GMT-0500 (Eastern Standard Time),1848
spatiotemporal_inconsistent,new,3,4,0,0,2,3,0,15,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:05:24 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:05:29 GMT-0500 (Eastern Standard Time),1888
spatiotemporal_inconsistent,new,1,3,0,0,1,0,15,0,50,-50,0,Chrome,9887366,Fri Dec 01 2023 10:05:30 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 10:05:36 GMT-0500 (Eastern Standard Time),1936
