spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,new,4,4,1,3,0,3,0,15,-50,50,0,Chrome,5909065,Fri Dec 01 2023 12:01:21 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:01:26 GMT-0500 (Eastern Standard Time),1839
spatiotemporal_inconsistent,new,0,0,2,3,3,0,0,15,50,-50,0,Chrome,5909065,Fri Dec 01 2023 12:01:27 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:01:33 GMT-0500 (Eastern Standard Time),1815
spatiotemporal_inconsistent,new,2,2,3,1,3,0,0,15,-50,50,0,Chrome,5909065,Fri Dec 01 2023 12:01:33 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:01:39 GMT-0500 (Eastern Standard Time),1832
spatiotemporal_inconsistent,new,0,3,2,2,3,4,15,0,50,-50,0,Chrome,5909065,Fri Dec 01 2023 12:01:40 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:01:45 GMT-0500 (Eastern Standard Time),1856
spatiotemporal_inconsistent,same,3,3,2,2,4,2,15,0,-50,50,0,Chrome,5909065,Fri Dec 01 2023 12:01:46 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:01:52 GMT-0500 (Eastern Standard Time),1736
spatiotemporal_inconsistent,same_swap,0,2,2,0,4,0,15,0,-50,50,1,Chrome,5909065,Fri Dec 01 2023 12:01:56 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:02:01 GMT-0500 (Eastern Standard Time),1663
spatiotemporal_inconsistent,same,3,3,4,4,3,2,15,0,50,-50,1,Chrome,5909065,Fri Dec 01 2023 12:02:03 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:02:08 GMT-0500 (Eastern Standard Time),1976
spatiotemporal_inconsistent,new,4,4,2,0,0,3,0,15,-50,50,0,Chrome,5909065,Fri Dec 01 2023 12:02:09 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:02:15 GMT-0500 (Eastern Standard Time),1752
spatiotemporal_inconsistent,same,2,2,0,0,0,4,0,15,-50,50,1,Chrome,5909065,Fri Dec 01 2023 12:02:15 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:02:21 GMT-0500 (Eastern Standard Time),2024
spatiotemporal_inconsistent,new,0,4,2,2,4,3,15,0,-50,50,0,Chrome,5909065,Fri Dec 01 2023 12:02:22 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 12:02:27 GMT-0500 (Eastern Standard Time),1976
