spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same,2,2,3,3,1,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:08:20 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:08:25 GMT-0500 (Eastern Standard Time),1033
spatiotemporal_inconsistent,same,3,3,2,2,0,4,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:08:28 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:08:32 GMT-0500 (Eastern Standard Time),826
spatiotemporal_inconsistent,same_swap,4,2,2,4,2,3,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:08:34 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:08:38 GMT-0500 (Eastern Standard Time),921
spatiotemporal_inconsistent,new,1,4,2,2,3,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:08:48 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:08:53 GMT-0500 (Eastern Standard Time),1145
spatiotemporal_inconsistent,same_swap,2,3,3,2,4,2,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:08:59 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:09:04 GMT-0500 (Eastern Standard Time),913
spatiotemporal_inconsistent,same_swap,3,1,1,3,2,0,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:09:09 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:09:14 GMT-0500 (Eastern Standard Time),1369
spatiotemporal_inconsistent,new,0,0,1,3,3,4,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:09:16 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:09:21 GMT-0500 (Eastern Standard Time),1241
spatiotemporal_inconsistent,new,1,1,2,4,1,3,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:09:23 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:09:28 GMT-0500 (Eastern Standard Time),1433
spatiotemporal_inconsistent,same,4,4,2,2,2,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:09:40 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:09:45 GMT-0500 (Eastern Standard Time),1465
spatiotemporal_inconsistent,same_swap,1,3,3,1,0,1,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:09:47 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:09:52 GMT-0500 (Eastern Standard Time),1097
spatiotemporal_inconsistent,new,0,0,1,2,0,3,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:10:06 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:10:11 GMT-0500 (Eastern Standard Time),1466
spatiotemporal_inconsistent,new,3,3,4,0,4,3,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:10:15 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:10:20 GMT-0500 (Eastern Standard Time),1297
spatiotemporal_inconsistent,same,4,4,3,3,1,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:10:22 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:10:27 GMT-0500 (Eastern Standard Time),1258
spatiotemporal_inconsistent,same_swap,2,0,0,2,2,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:10:28 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:10:33 GMT-0500 (Eastern Standard Time),1025
spatiotemporal_inconsistent,same,3,3,4,4,3,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:10:34 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:10:39 GMT-0500 (Eastern Standard Time),969
spatiotemporal_inconsistent,same,1,1,2,2,4,1,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:10:40 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:10:45 GMT-0500 (Eastern Standard Time),1017
spatiotemporal_inconsistent,same,1,1,4,4,3,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:10:46 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:10:50 GMT-0500 (Eastern Standard Time),721
spatiotemporal_inconsistent,same_swap,2,3,3,2,3,2,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:10:56 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:01 GMT-0500 (Eastern Standard Time),1098
spatiotemporal_inconsistent,same,0,0,3,3,4,2,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:11:04 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:09 GMT-0500 (Eastern Standard Time),1538
spatiotemporal_inconsistent,same_swap,0,3,3,0,3,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:11:10 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:14 GMT-0500 (Eastern Standard Time),873
spatiotemporal_inconsistent,same,4,4,2,2,1,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:11:15 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:20 GMT-0500 (Eastern Standard Time),729
spatiotemporal_inconsistent,same,1,1,3,3,1,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:11:21 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:25 GMT-0500 (Eastern Standard Time),1025
spatiotemporal_inconsistent,same_swap,2,4,4,2,1,2,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:11:26 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:31 GMT-0500 (Eastern Standard Time),938
spatiotemporal_inconsistent,new,1,1,2,0,2,4,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:11:32 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:37 GMT-0500 (Eastern Standard Time),1289
spatiotemporal_inconsistent,same_swap,1,3,3,1,0,3,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:11:37 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:42 GMT-0500 (Eastern Standard Time),1305
spatiotemporal_inconsistent,same,0,0,4,4,0,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:11:43 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:48 GMT-0500 (Eastern Standard Time),1025
spatiotemporal_inconsistent,same_swap,4,3,3,4,1,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:11:49 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:11:54 GMT-0500 (Eastern Standard Time),1506
spatiotemporal_inconsistent,new,1,1,2,3,0,3,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:11:55 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:00 GMT-0500 (Eastern Standard Time),1385
spatiotemporal_inconsistent,same_swap,3,1,1,3,2,3,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:12:00 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:05 GMT-0500 (Eastern Standard Time),1194
spatiotemporal_inconsistent,new,0,0,2,1,3,4,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:12:19 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:24 GMT-0500 (Eastern Standard Time),1017
spatiotemporal_inconsistent,same,3,3,1,1,1,3,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:12:25 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:30 GMT-0500 (Eastern Standard Time),1161
spatiotemporal_inconsistent,same_swap,2,1,1,2,0,2,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:12:32 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:37 GMT-0500 (Eastern Standard Time),1058
spatiotemporal_inconsistent,same_swap,3,4,4,3,4,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:12:38 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:43 GMT-0500 (Eastern Standard Time),1410
spatiotemporal_inconsistent,same_swap,4,0,0,4,2,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:12:44 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:49 GMT-0500 (Eastern Standard Time),1241
spatiotemporal_inconsistent,new,0,1,3,3,1,2,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:12:49 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:54 GMT-0500 (Eastern Standard Time),1121
spatiotemporal_inconsistent,new,1,3,2,2,3,0,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:12:55 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:12:59 GMT-0500 (Eastern Standard Time),1018
spatiotemporal_inconsistent,same,4,4,2,2,1,4,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:13:01 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:06 GMT-0500 (Eastern Standard Time),1017
spatiotemporal_inconsistent,new,0,0,1,2,4,0,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:13:07 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:11 GMT-0500 (Eastern Standard Time),1050
spatiotemporal_inconsistent,new,4,4,2,0,1,0,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:13:17 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:22 GMT-0500 (Eastern Standard Time),1721
spatiotemporal_inconsistent,same_swap,4,2,2,4,4,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:13:25 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:29 GMT-0500 (Eastern Standard Time),1026
spatiotemporal_inconsistent,same,3,3,1,1,4,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:13:31 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:36 GMT-0500 (Eastern Standard Time),1482
spatiotemporal_inconsistent,same,1,1,4,4,2,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:13:37 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:42 GMT-0500 (Eastern Standard Time),1146
spatiotemporal_inconsistent,new,0,0,2,4,4,3,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:13:43 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:48 GMT-0500 (Eastern Standard Time),1331
spatiotemporal_inconsistent,same,4,4,2,2,4,3,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:13:49 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:53 GMT-0500 (Eastern Standard Time),1049
spatiotemporal_inconsistent,same_swap,2,4,4,2,4,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:13:54 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:13:59 GMT-0500 (Eastern Standard Time),1161
spatiotemporal_inconsistent,new,4,0,2,2,4,3,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:14:00 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:05 GMT-0500 (Eastern Standard Time),1273
spatiotemporal_inconsistent,new,2,3,1,1,2,0,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:14:05 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:11 GMT-0500 (Eastern Standard Time),1633
spatiotemporal_inconsistent,same,3,3,0,0,2,3,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:14:11 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:17 GMT-0500 (Eastern Standard Time),1682
spatiotemporal_inconsistent,same,1,1,4,4,3,1,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:14:18 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:23 GMT-0500 (Eastern Standard Time),1297
spatiotemporal_inconsistent,new,1,4,0,0,3,1,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:14:24 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:29 GMT-0500 (Eastern Standard Time),1225
spatiotemporal_inconsistent,same_swap,2,3,3,2,1,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:14:30 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:35 GMT-0500 (Eastern Standard Time),1129
spatiotemporal_inconsistent,same_swap,2,3,3,2,3,1,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:14:36 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:41 GMT-0500 (Eastern Standard Time),1137
spatiotemporal_inconsistent,same_swap,2,4,4,2,3,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:14:42 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:46 GMT-0500 (Eastern Standard Time),1050
spatiotemporal_inconsistent,new,2,2,1,0,3,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:14:47 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:52 GMT-0500 (Eastern Standard Time),1106
spatiotemporal_inconsistent,same_swap,2,0,0,2,4,2,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:14:53 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:14:58 GMT-0500 (Eastern Standard Time),1401
spatiotemporal_inconsistent,new,4,2,3,3,3,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:14:59 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:15:04 GMT-0500 (Eastern Standard Time),969
spatiotemporal_inconsistent,same_swap,2,0,0,2,4,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:15:05 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:15:10 GMT-0500 (Eastern Standard Time),1250
spatiotemporal_inconsistent,new,2,3,4,4,0,4,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:15:11 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:15:16 GMT-0500 (Eastern Standard Time),1729
spatiotemporal_inconsistent,same,4,4,0,0,4,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:15:17 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:15:22 GMT-0500 (Eastern Standard Time),1105
spatiotemporal_inconsistent,same,1,1,4,4,1,2,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:15:23 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:15:28 GMT-0500 (Eastern Standard Time),1201
spatiotemporal_inconsistent,same_swap,3,0,0,3,4,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:15:30 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:15:35 GMT-0500 (Eastern Standard Time),1281
spatiotemporal_inconsistent,same_swap,0,3,3,0,0,2,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:15:37 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:15:43 GMT-0500 (Eastern Standard Time),2313
spatiotemporal_inconsistent,new,2,2,1,0,2,1,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:15:54 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:15:59 GMT-0500 (Eastern Standard Time),978
spatiotemporal_inconsistent,same_swap,2,3,3,2,2,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:16:00 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:16:05 GMT-0500 (Eastern Standard Time),1033
spatiotemporal_inconsistent,new,3,4,2,2,4,2,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:16:06 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:16:12 GMT-0500 (Eastern Standard Time),1913
spatiotemporal_inconsistent,same_swap,1,4,4,1,0,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:16:13 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:16:18 GMT-0500 (Eastern Standard Time),1297
spatiotemporal_inconsistent,same,1,1,2,2,4,0,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:16:19 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:16:23 GMT-0500 (Eastern Standard Time),1194
spatiotemporal_inconsistent,same_swap,4,0,0,4,1,4,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:16:25 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:16:31 GMT-0500 (Eastern Standard Time),2146
spatiotemporal_inconsistent,same,3,3,2,2,0,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:16:50 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:16:55 GMT-0500 (Eastern Standard Time),1329
spatiotemporal_inconsistent,same,2,2,1,1,2,4,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:16:56 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:01 GMT-0500 (Eastern Standard Time),1025
spatiotemporal_inconsistent,new,3,0,4,4,2,3,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:17:02 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:07 GMT-0500 (Eastern Standard Time),1458
spatiotemporal_inconsistent,same,1,1,3,3,4,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:17:07 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:12 GMT-0500 (Eastern Standard Time),1066
spatiotemporal_inconsistent,same_swap,2,1,1,2,1,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:17:13 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:18 GMT-0500 (Eastern Standard Time),1017
spatiotemporal_inconsistent,same,2,2,0,0,1,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:17:18 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:23 GMT-0500 (Eastern Standard Time),1313
spatiotemporal_inconsistent,new,2,2,0,3,4,2,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:17:24 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:29 GMT-0500 (Eastern Standard Time),1385
spatiotemporal_inconsistent,same,3,3,4,4,0,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:17:30 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:35 GMT-0500 (Eastern Standard Time),1337
spatiotemporal_inconsistent,same_swap,2,0,0,2,2,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:17:36 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:41 GMT-0500 (Eastern Standard Time),1330
spatiotemporal_inconsistent,new,4,4,0,1,3,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:17:41 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:47 GMT-0500 (Eastern Standard Time),1850
spatiotemporal_inconsistent,same_swap,4,3,3,4,3,2,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:17:48 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:17:54 GMT-0500 (Eastern Standard Time),1937
spatiotemporal_inconsistent,new,4,4,3,0,0,1,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:17:55 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:00 GMT-0500 (Eastern Standard Time),1753
spatiotemporal_inconsistent,same_swap,0,4,4,0,4,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:18:01 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:06 GMT-0500 (Eastern Standard Time),1322
spatiotemporal_inconsistent,same,3,3,1,1,3,4,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:18:07 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:12 GMT-0500 (Eastern Standard Time),1138
spatiotemporal_inconsistent,new,1,1,2,0,1,2,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:18:12 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:18 GMT-0500 (Eastern Standard Time),2057
spatiotemporal_inconsistent,new,1,0,3,3,3,1,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:18:19 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:24 GMT-0500 (Eastern Standard Time),1161
spatiotemporal_inconsistent,same_swap,3,2,2,3,2,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:18:26 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:31 GMT-0500 (Eastern Standard Time),1081
spatiotemporal_inconsistent,new,2,1,3,3,1,2,-50,50,0,Chrome,1584338,Tue Dec 05 2023 11:18:32 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:37 GMT-0500 (Eastern Standard Time),1426
spatiotemporal_inconsistent,same_swap,4,0,0,4,4,3,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:18:37 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:43 GMT-0500 (Eastern Standard Time),2002
spatiotemporal_inconsistent,same,1,1,4,4,0,2,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:18:44 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:49 GMT-0500 (Eastern Standard Time),1401
spatiotemporal_inconsistent,same,2,2,3,3,3,1,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:18:50 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:18:54 GMT-0500 (Eastern Standard Time),954
spatiotemporal_inconsistent,same_swap,2,3,3,2,3,1,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:18:55 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:00 GMT-0500 (Eastern Standard Time),1033
spatiotemporal_inconsistent,new,1,0,2,2,4,1,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:19:01 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:06 GMT-0500 (Eastern Standard Time),1105
spatiotemporal_inconsistent,new,0,3,4,4,1,3,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:19:14 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:19 GMT-0500 (Eastern Standard Time),1274
spatiotemporal_inconsistent,same_swap,1,4,4,1,2,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:19:19 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:25 GMT-0500 (Eastern Standard Time),1673
spatiotemporal_inconsistent,new,3,3,0,1,1,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:19:25 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:30 GMT-0500 (Eastern Standard Time),1385
spatiotemporal_inconsistent,same_swap,1,3,3,1,1,2,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:19:32 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:37 GMT-0500 (Eastern Standard Time),1105
spatiotemporal_inconsistent,same_swap,2,0,0,2,0,1,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:19:38 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:44 GMT-0500 (Eastern Standard Time),1785
spatiotemporal_inconsistent,same,0,0,1,1,4,3,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:19:45 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:50 GMT-0500 (Eastern Standard Time),1458
spatiotemporal_inconsistent,same_swap,4,0,0,4,3,1,50,-50,0,Chrome,1584338,Tue Dec 05 2023 11:19:51 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:19:56 GMT-0500 (Eastern Standard Time),1545
spatiotemporal_inconsistent,same,4,4,0,0,3,4,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:19:57 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:20:02 GMT-0500 (Eastern Standard Time),1441
spatiotemporal_inconsistent,same_swap,3,2,2,3,2,4,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:20:03 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:20:08 GMT-0500 (Eastern Standard Time),1041
spatiotemporal_inconsistent,same,2,2,3,3,3,0,50,-50,1,Chrome,1584338,Tue Dec 05 2023 11:20:08 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:20:13 GMT-0500 (Eastern Standard Time),1137
spatiotemporal_inconsistent,same,0,0,2,2,2,0,-50,50,1,Chrome,1584338,Tue Dec 05 2023 11:20:14 GMT-0500 (Eastern Standard Time),Tue Dec 05 2023 11:20:19 GMT-0500 (Eastern Standard Time),1281
