spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same_swap,1,4,4,1,2,3,-50,50,1,Chrome,7312254,Wed Jul 02 2025 12:41:40 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:41:46 GMT-0400 (Eastern Daylight Time),1471
spatiotemporal_inconsistent,same,3,3,1,1,2,1,-50,50,1,Chrome,7312254,Wed Jul 02 2025 12:41:47 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:41:52 GMT-0400 (Eastern Daylight Time),1720
spatiotemporal_inconsistent,new,0,0,2,1,2,4,50,-50,0,Chrome,7312254,Wed Jul 02 2025 12:41:53 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:41:59 GMT-0400 (Eastern Daylight Time),1519
spatiotemporal_inconsistent,same,3,3,4,4,1,0,-50,50,1,Chrome,7312254,Wed Jul 02 2025 12:41:59 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:05 GMT-0400 (Eastern Daylight Time),1368
spatiotemporal_inconsistent,same,4,4,1,1,4,1,-50,50,1,Chrome,7312254,Wed Jul 02 2025 12:42:05 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:10 GMT-0400 (Eastern Daylight Time),1280
spatiotemporal_inconsistent,same_swap,2,4,4,2,3,2,-50,50,1,Chrome,7312254,Wed Jul 02 2025 12:42:12 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:17 GMT-0400 (Eastern Daylight Time),1303
spatiotemporal_inconsistent,same,4,4,2,2,4,2,-50,50,1,Chrome,7312254,Wed Jul 02 2025 12:42:17 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:22 GMT-0400 (Eastern Daylight Time),1073
spatiotemporal_inconsistent,new,4,1,2,2,0,4,-50,50,1,Chrome,7312254,Wed Jul 02 2025 12:42:23 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:28 GMT-0400 (Eastern Daylight Time),1336
spatiotemporal_inconsistent,same_swap,2,0,0,2,1,2,50,-50,1,Chrome,7312254,Wed Jul 02 2025 12:42:35 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:40 GMT-0400 (Eastern Daylight Time),1375
spatiotemporal_inconsistent,same_swap,1,0,0,1,4,0,50,-50,1,Chrome,7312254,Wed Jul 02 2025 12:42:40 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:45 GMT-0400 (Eastern Daylight Time),1136
spatiotemporal_inconsistent,same,1,1,2,2,0,2,-50,50,1,Chrome,7312254,Wed Jul 02 2025 12:42:46 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:51 GMT-0400 (Eastern Daylight Time),1128
spatiotemporal_inconsistent,same,3,3,2,2,4,1,50,-50,1,Chrome,7312254,Wed Jul 02 2025 12:42:52 GMT-0400 (Eastern Daylight Time),Wed Jul 02 2025 12:42:57 GMT-0400 (Eastern Daylight Time),1736
