spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same,2,2,4,4,2,4,50,-50,1,Chrome,1151600,Wed Dec 06 2023 09:55:50 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:55:55 GMT-0500 (Eastern Standard Time),1417
spatiotemporal_inconsistent,new,0,1,4,4,0,3,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:55:58 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:56:03 GMT-0500 (Eastern Standard Time),1977
spatiotemporal_inconsistent,same,4,4,2,2,2,3,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:56:08 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:56:13 GMT-0500 (Eastern Standard Time),1425
spatiotemporal_inconsistent,same_swap,0,2,2,0,4,0,50,-50,1,Chrome,1151600,Wed Dec 06 2023 09:56:14 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:56:21 GMT-0500 (Eastern Standard Time),3641
spatiotemporal_inconsistent,new,0,0,1,2,0,1,50,-50,0,Chrome,1151600,Wed Dec 06 2023 09:56:23 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:56:29 GMT-0500 (Eastern Standard Time),2402
spatiotemporal_inconsistent,same_swap,0,1,1,0,4,3,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:56:30 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:56:36 GMT-0500 (Eastern Standard Time),2073
spatiotemporal_inconsistent,new,4,1,3,3,3,2,50,-50,1,Chrome,1151600,Wed Dec 06 2023 09:56:37 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:56:43 GMT-0500 (Eastern Standard Time),1618
spatiotemporal_inconsistent,new,2,1,4,4,1,3,50,-50,0,Chrome,1151600,Wed Dec 06 2023 09:56:44 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:56:50 GMT-0500 (Eastern Standard Time),1769
spatiotemporal_inconsistent,same,1,1,3,3,3,2,50,-50,1,Chrome,1151600,Wed Dec 06 2023 09:56:51 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:56:56 GMT-0500 (Eastern Standard Time),1409
spatiotemporal_inconsistent,same_swap,4,0,0,4,1,3,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:56:58 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:03 GMT-0500 (Eastern Standard Time),1721
spatiotemporal_inconsistent,same_swap,2,0,0,2,4,1,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:57:04 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:10 GMT-0500 (Eastern Standard Time),1793
spatiotemporal_inconsistent,same_swap,4,2,2,4,1,0,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:57:11 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:16 GMT-0500 (Eastern Standard Time),1609
spatiotemporal_inconsistent,same,4,4,2,2,0,2,50,-50,1,Chrome,1151600,Wed Dec 06 2023 09:57:17 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:22 GMT-0500 (Eastern Standard Time),1241
spatiotemporal_inconsistent,same_swap,4,0,0,4,2,0,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:57:23 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:28 GMT-0500 (Eastern Standard Time),1425
spatiotemporal_inconsistent,new,0,0,3,4,4,1,50,-50,0,Chrome,1151600,Wed Dec 06 2023 09:57:29 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:35 GMT-0500 (Eastern Standard Time),1617
spatiotemporal_inconsistent,same,4,4,0,0,2,0,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:57:35 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:41 GMT-0500 (Eastern Standard Time),1457
spatiotemporal_inconsistent,same,1,1,2,2,1,4,-50,50,1,Chrome,1151600,Wed Dec 06 2023 09:57:42 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:47 GMT-0500 (Eastern Standard Time),1586
spatiotemporal_inconsistent,new,4,3,2,2,3,2,50,-50,0,Chrome,1151600,Wed Dec 06 2023 09:57:48 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:57:54 GMT-0500 (Eastern Standard Time),2361
