spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same,1,1,3,3,0,1,-50,50,1,Chrome,4912060,Fri Dec 01 2023 14:48:59 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:49:03 GMT-0500 (Eastern Standard Time),1097
spatiotemporal_inconsistent,same,1,1,0,0,1,0,-50,50,1,Chrome,4912060,Fri Dec 01 2023 14:49:06 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:49:10 GMT-0500 (Eastern Standard Time),1001
spatiotemporal_inconsistent,same,2,2,0,0,2,1,50,-50,1,Chrome,4912060,Fri Dec 01 2023 14:49:12 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:49:17 GMT-0500 (Eastern Standard Time),1233
spatiotemporal_inconsistent,same_swap,4,2,2,4,4,1,-50,50,1,Chrome,4912060,Fri Dec 01 2023 14:49:19 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:49:25 GMT-0500 (Eastern Standard Time),2282
spatiotemporal_inconsistent,new,3,3,2,1,4,1,-50,50,0,Chrome,4912060,Fri Dec 01 2023 14:49:27 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:49:32 GMT-0500 (Eastern Standard Time),1193
spatiotemporal_inconsistent,same,1,1,4,4,2,1,-50,50,1,Chrome,4912060,Fri Dec 01 2023 14:49:34 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:49:39 GMT-0500 (Eastern Standard Time),1793
spatiotemporal_inconsistent,same_swap,2,4,4,2,0,3,50,-50,1,Chrome,4912060,Fri Dec 01 2023 14:49:48 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:49:53 GMT-0500 (Eastern Standard Time),1313
spatiotemporal_inconsistent,new,3,3,1,2,4,0,50,-50,0,Chrome,4912060,Fri Dec 01 2023 14:49:56 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:50:01 GMT-0500 (Eastern Standard Time),1529
spatiotemporal_inconsistent,new,4,3,0,0,4,1,50,-50,0,Chrome,4912060,Fri Dec 01 2023 14:50:03 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:50:08 GMT-0500 (Eastern Standard Time),889
spatiotemporal_inconsistent,same,1,1,4,4,4,3,50,-50,1,Chrome,4912060,Fri Dec 01 2023 14:50:10 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 14:50:15 GMT-0500 (Eastern Standard Time),1553
