spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same,0,0,2,2,3,2,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:04:04 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:04:10 GMT-0400 (Eastern Daylight Time),1801
spatiotemporal_inconsistent,new,2,2,0,4,2,0,5,0,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:04:13 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:04:18 GMT-0400 (Eastern Daylight Time),1760
spatiotemporal_inconsistent,new,2,2,1,4,2,1,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:04:24 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:04:29 GMT-0400 (Eastern Daylight Time),1768
spatiotemporal_inconsistent,same,1,1,2,2,1,3,5,0,50,-50,0,Chrome,4586114,Tue Apr 16 2024 11:04:31 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:04:37 GMT-0400 (Eastern Daylight Time),2377
spatiotemporal_inconsistent,new,3,3,1,0,0,3,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:04:39 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:04:44 GMT-0400 (Eastern Daylight Time),1816
spatiotemporal_inconsistent,new,0,1,3,3,3,0,5,0,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:04:46 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:04:52 GMT-0400 (Eastern Daylight Time),2273
spatiotemporal_inconsistent,same,4,4,3,3,4,3,5,0,50,-50,0,Chrome,4586114,Tue Apr 16 2024 11:04:54 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:05:00 GMT-0400 (Eastern Daylight Time),2168
spatiotemporal_inconsistent,same,2,2,0,0,4,0,0,5,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:05:03 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:05:09 GMT-0400 (Eastern Daylight Time),2296
spatiotemporal_inconsistent,same_swap,0,1,1,0,3,4,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:05:11 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:05:16 GMT-0400 (Eastern Daylight Time),1648
spatiotemporal_inconsistent,new,4,2,3,3,3,4,5,0,50,-50,0,Chrome,4586114,Tue Apr 16 2024 11:05:20 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:05:26 GMT-0400 (Eastern Daylight Time),1881
spatiotemporal_inconsistent,same_swap,0,1,1,0,2,1,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:05:30 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:05:36 GMT-0400 (Eastern Daylight Time),1848
spatiotemporal_inconsistent,same,0,0,2,2,3,0,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:05:36 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:05:42 GMT-0400 (Eastern Daylight Time),1840
spatiotemporal_inconsistent,same,1,1,4,4,2,0,0,5,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:05:43 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:05:48 GMT-0400 (Eastern Daylight Time),1937
spatiotemporal_inconsistent,same,0,0,2,2,4,1,5,0,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:05:49 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:05:54 GMT-0400 (Eastern Daylight Time),1936
spatiotemporal_inconsistent,new,4,0,1,1,2,4,0,5,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:05:56 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:01 GMT-0400 (Eastern Daylight Time),1602
spatiotemporal_inconsistent,same,3,3,4,4,3,2,0,5,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:06:02 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:08 GMT-0400 (Eastern Daylight Time),2112
spatiotemporal_inconsistent,new,1,2,0,0,1,4,0,5,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:06:09 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:15 GMT-0400 (Eastern Daylight Time),1897
spatiotemporal_inconsistent,same_swap,2,3,3,2,4,0,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:06:16 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:22 GMT-0400 (Eastern Daylight Time),2049
spatiotemporal_inconsistent,same_swap,4,0,0,4,4,3,5,0,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:06:23 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:28 GMT-0400 (Eastern Daylight Time),1960
spatiotemporal_inconsistent,same,4,4,1,1,0,3,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:06:29 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:35 GMT-0400 (Eastern Daylight Time),1889
spatiotemporal_inconsistent,new,4,4,0,2,2,3,5,0,50,-50,0,Chrome,4586114,Tue Apr 16 2024 11:06:35 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:41 GMT-0400 (Eastern Daylight Time),1545
spatiotemporal_inconsistent,new,0,3,2,2,1,0,5,0,50,-50,0,Chrome,4586114,Tue Apr 16 2024 11:06:41 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:47 GMT-0400 (Eastern Daylight Time),1696
spatiotemporal_inconsistent,new,0,2,4,4,1,3,0,5,50,-50,0,Chrome,4586114,Tue Apr 16 2024 11:06:47 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:53 GMT-0400 (Eastern Daylight Time),1769
spatiotemporal_inconsistent,same_swap,0,3,3,0,4,3,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:06:53 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:06:59 GMT-0400 (Eastern Daylight Time),1936
spatiotemporal_inconsistent,same,3,3,2,2,0,2,5,0,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:06:59 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:05 GMT-0400 (Eastern Daylight Time),1785
spatiotemporal_inconsistent,same_swap,2,4,4,2,4,0,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:07:05 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:11 GMT-0400 (Eastern Daylight Time),1705
spatiotemporal_inconsistent,same_swap,1,3,3,1,3,4,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:07:11 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:17 GMT-0400 (Eastern Daylight Time),1857
spatiotemporal_inconsistent,same_swap,4,1,1,4,0,4,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:07:17 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:23 GMT-0400 (Eastern Daylight Time),2216
spatiotemporal_inconsistent,same,3,3,1,1,1,4,0,5,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:07:24 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:29 GMT-0400 (Eastern Daylight Time),1576
spatiotemporal_inconsistent,same,1,1,2,2,4,2,0,5,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:07:29 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:35 GMT-0400 (Eastern Daylight Time),1840
spatiotemporal_inconsistent,new,1,4,3,3,0,3,5,0,-50,50,0,Chrome,4586114,Tue Apr 16 2024 11:07:35 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:41 GMT-0400 (Eastern Daylight Time),1945
spatiotemporal_inconsistent,same,1,1,4,4,1,3,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:07:42 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:47 GMT-0400 (Eastern Daylight Time),1849
spatiotemporal_inconsistent,same_swap,1,0,0,1,4,2,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:07:48 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:07:53 GMT-0400 (Eastern Daylight Time),1657
spatiotemporal_inconsistent,same_swap,0,4,4,0,2,0,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:08:21 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:08:27 GMT-0400 (Eastern Daylight Time),1809
spatiotemporal_inconsistent,new,1,1,4,2,1,3,5,0,50,-50,0,Chrome,4586114,Tue Apr 16 2024 11:08:29 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:08:34 GMT-0400 (Eastern Daylight Time),1713
spatiotemporal_inconsistent,same_swap,3,0,0,3,2,0,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:08:35 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:08:40 GMT-0400 (Eastern Daylight Time),1720
spatiotemporal_inconsistent,new,0,0,4,2,2,0,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:08:41 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:08:47 GMT-0400 (Eastern Daylight Time),2161
spatiotemporal_inconsistent,same_swap,3,2,2,3,0,3,0,5,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:08:48 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:08:53 GMT-0400 (Eastern Daylight Time),1705
spatiotemporal_inconsistent,same,3,3,1,1,3,0,5,0,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:08:54 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:08:59 GMT-0400 (Eastern Daylight Time),1737
spatiotemporal_inconsistent,same_swap,4,2,2,4,3,0,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:09:00 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:09:05 GMT-0400 (Eastern Daylight Time),1480
spatiotemporal_inconsistent,same,4,4,0,0,2,3,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:09:05 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:09:11 GMT-0400 (Eastern Daylight Time),1800
spatiotemporal_inconsistent,new,3,4,1,1,0,3,5,0,-50,50,0,Chrome,4586114,Tue Apr 16 2024 11:09:12 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:09:17 GMT-0400 (Eastern Daylight Time),2048
spatiotemporal_inconsistent,same,1,1,2,2,3,0,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:09:18 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:09:23 GMT-0400 (Eastern Daylight Time),1712
spatiotemporal_inconsistent,same,3,3,0,0,1,4,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:09:24 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:09:29 GMT-0400 (Eastern Daylight Time),2089
spatiotemporal_inconsistent,same,1,1,3,3,3,1,0,5,50,-50,1,Chrome,4586114,Tue Apr 16 2024 11:09:30 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:09:35 GMT-0400 (Eastern Daylight Time),1736
spatiotemporal_inconsistent,same,4,4,1,1,1,3,5,0,-50,50,1,Chrome,4586114,Tue Apr 16 2024 11:09:38 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2024 11:09:43 GMT-0400 (Eastern Daylight Time),1512
