spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same,1,1,0,0,0,2,5,0,50,-50,1,Chrome,5807690,Wed Apr 24 2024 12:04:25 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:04:32 GMT-0400 (Eastern Daylight Time),2737
spatiotemporal_inconsistent,new,0,2,3,3,4,2,5,0,50,-50,0,Chrome,5807690,Wed Apr 24 2024 12:04:34 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:04:40 GMT-0400 (Eastern Daylight Time),2257
spatiotemporal_inconsistent,same,3,3,2,2,1,0,0,5,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:04:42 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:04:48 GMT-0400 (Eastern Daylight Time),2233
spatiotemporal_inconsistent,same,3,3,0,0,2,4,0,5,50,-50,1,Chrome,5807690,Wed Apr 24 2024 12:04:49 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:04:56 GMT-0400 (Eastern Daylight Time),3249
spatiotemporal_inconsistent,same_swap,2,3,3,2,1,3,5,0,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:04:58 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:05:04 GMT-0400 (Eastern Daylight Time),2329
spatiotemporal_inconsistent,same,3,3,4,4,1,3,5,0,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:05:05 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:05:11 GMT-0400 (Eastern Daylight Time),2137
spatiotemporal_inconsistent,new,0,0,1,4,0,3,5,0,50,-50,0,Chrome,5807690,Wed Apr 24 2024 12:05:12 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:05:18 GMT-0400 (Eastern Daylight Time),1873
spatiotemporal_inconsistent,same,0,0,2,2,1,3,0,5,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:05:19 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:05:25 GMT-0400 (Eastern Daylight Time),2129
spatiotemporal_inconsistent,same_swap,2,0,0,2,2,1,5,0,50,-50,0,Chrome,5807690,Wed Apr 24 2024 12:05:26 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:05:33 GMT-0400 (Eastern Daylight Time),3553
spatiotemporal_inconsistent,same,0,0,2,2,1,2,5,0,50,-50,1,Chrome,5807690,Wed Apr 24 2024 12:05:41 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:05:46 GMT-0400 (Eastern Daylight Time),2072
spatiotemporal_inconsistent,new,0,1,2,2,0,2,5,0,50,-50,0,Chrome,5807690,Wed Apr 24 2024 12:05:48 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:05:53 GMT-0400 (Eastern Daylight Time),2089
spatiotemporal_inconsistent,same_swap,0,2,2,0,4,2,5,0,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:05:54 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:01 GMT-0400 (Eastern Daylight Time),2793
spatiotemporal_inconsistent,same,0,0,4,4,2,4,0,5,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:06:02 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:08 GMT-0400 (Eastern Daylight Time),2049
spatiotemporal_inconsistent,same_swap,1,0,0,1,2,1,5,0,50,-50,1,Chrome,5807690,Wed Apr 24 2024 12:06:09 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:15 GMT-0400 (Eastern Daylight Time),2041
spatiotemporal_inconsistent,same_swap,1,0,0,1,2,3,5,0,-50,50,0,Chrome,5807690,Wed Apr 24 2024 12:06:16 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:22 GMT-0400 (Eastern Daylight Time),3050
spatiotemporal_inconsistent,same,0,0,1,1,0,1,5,0,50,-50,1,Chrome,5807690,Wed Apr 24 2024 12:06:24 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:29 GMT-0400 (Eastern Daylight Time),1865
spatiotemporal_inconsistent,same_swap,0,4,4,0,0,1,5,0,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:06:30 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:36 GMT-0400 (Eastern Daylight Time),2017
spatiotemporal_inconsistent,same,3,3,4,4,3,0,5,0,-50,50,0,Chrome,5807690,Wed Apr 24 2024 12:06:37 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:43 GMT-0400 (Eastern Daylight Time),2129
spatiotemporal_inconsistent,same_swap,2,3,3,2,2,1,5,0,50,-50,1,Chrome,5807690,Wed Apr 24 2024 12:06:46 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:52 GMT-0400 (Eastern Daylight Time),2089
spatiotemporal_inconsistent,same_swap,0,3,3,0,0,1,0,5,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:06:52 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:06:58 GMT-0400 (Eastern Daylight Time),2194
spatiotemporal_inconsistent,same,4,4,1,1,0,3,0,5,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:06:59 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:07:05 GMT-0400 (Eastern Daylight Time),2041
spatiotemporal_inconsistent,new,4,3,1,1,0,2,0,5,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:07:06 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:07:12 GMT-0400 (Eastern Daylight Time),2433
spatiotemporal_inconsistent,new,4,1,2,2,2,0,0,5,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:07:13 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:07:22 GMT-0400 (Eastern Daylight Time),4833
spatiotemporal_inconsistent,same_swap,0,1,1,0,3,2,0,5,50,-50,1,Chrome,5807690,Wed Apr 24 2024 12:07:24 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:07:30 GMT-0400 (Eastern Daylight Time),1689
spatiotemporal_inconsistent,same_swap,4,2,2,4,4,0,0,5,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:07:30 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:07:36 GMT-0400 (Eastern Daylight Time),2337
spatiotemporal_inconsistent,same,2,2,1,1,1,3,5,0,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:07:37 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:07:43 GMT-0400 (Eastern Daylight Time),1889
spatiotemporal_inconsistent,new,3,3,0,4,0,3,0,5,50,-50,1,Chrome,5807690,Wed Apr 24 2024 12:07:44 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:07:50 GMT-0400 (Eastern Daylight Time),2457
spatiotemporal_inconsistent,new,3,2,0,0,0,1,0,5,50,-50,0,Chrome,5807690,Wed Apr 24 2024 12:07:51 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:07:57 GMT-0400 (Eastern Daylight Time),2201
spatiotemporal_inconsistent,same_swap,3,4,4,3,0,4,5,0,-50,50,1,Chrome,5807690,Wed Apr 24 2024 12:07:58 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 12:08:03 GMT-0400 (Eastern Daylight Time),1889
