spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same,0,0,4,4,3,4,0,5,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:06:21 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:06:26 GMT-0500 (Eastern Standard Time),1727
spatiotemporal_inconsistent,new,2,0,4,4,3,2,0,5,50,-50,0,Chrome,2920932,Sun Dec 03 2023 09:06:28 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:06:33 GMT-0500 (Eastern Standard Time),1915
spatiotemporal_inconsistent,new,2,2,4,1,4,0,5,0,-50,50,1,Chrome,2920932,Sun Dec 03 2023 09:06:34 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:06:40 GMT-0500 (Eastern Standard Time),2192
spatiotemporal_inconsistent,new,3,2,4,4,2,1,5,0,50,-50,0,Chrome,2920932,Sun Dec 03 2023 09:08:17 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:08:23 GMT-0500 (Eastern Standard Time),1944
spatiotemporal_inconsistent,same,3,3,1,1,1,2,0,5,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:08:24 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:08:31 GMT-0500 (Eastern Standard Time),2952
spatiotemporal_inconsistent,same_swap,4,2,2,4,2,4,0,5,-50,50,1,Chrome,2920932,Sun Dec 03 2023 09:09:02 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:09:08 GMT-0500 (Eastern Standard Time),2008
spatiotemporal_inconsistent,same_swap,1,4,4,1,0,3,5,0,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:09:09 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:09:15 GMT-0500 (Eastern Standard Time),1896
spatiotemporal_inconsistent,same_swap,3,4,4,3,2,3,0,5,50,-50,0,Chrome,2920932,Sun Dec 03 2023 09:09:16 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:09:22 GMT-0500 (Eastern Standard Time),2520
spatiotemporal_inconsistent,new,0,3,4,4,3,1,0,5,-50,50,0,Chrome,2920932,Sun Dec 03 2023 09:09:58 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:10:04 GMT-0500 (Eastern Standard Time),1824
spatiotemporal_inconsistent,same_swap,3,1,1,3,4,2,5,0,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:10:05 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:10:11 GMT-0500 (Eastern Standard Time),2088
spatiotemporal_inconsistent,same_swap,3,1,1,3,3,0,0,5,-50,50,1,Chrome,2920932,Sun Dec 03 2023 09:10:46 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:10:52 GMT-0500 (Eastern Standard Time),2384
spatiotemporal_inconsistent,new,0,0,2,1,2,3,5,0,50,-50,0,Chrome,2920932,Sun Dec 03 2023 09:10:53 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:10:59 GMT-0500 (Eastern Standard Time),2024
spatiotemporal_inconsistent,same,0,0,3,3,2,3,0,5,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:11:01 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:11:06 GMT-0500 (Eastern Standard Time),1703
spatiotemporal_inconsistent,same_swap,2,3,3,2,1,0,5,0,-50,50,1,Chrome,2920932,Sun Dec 03 2023 09:11:07 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:11:13 GMT-0500 (Eastern Standard Time),1914
spatiotemporal_inconsistent,new,0,0,4,1,4,1,5,0,50,-50,0,Chrome,2920932,Sun Dec 03 2023 09:11:13 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:11:19 GMT-0500 (Eastern Standard Time),1666
spatiotemporal_inconsistent,same,3,3,0,0,2,4,0,5,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:11:19 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:11:25 GMT-0500 (Eastern Standard Time),1971
spatiotemporal_inconsistent,same,3,3,0,0,1,3,0,5,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:11:25 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:11:31 GMT-0500 (Eastern Standard Time),1592
spatiotemporal_inconsistent,same_swap,1,4,4,1,3,0,5,0,-50,50,1,Chrome,2920932,Sun Dec 03 2023 09:11:57 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:12:02 GMT-0500 (Eastern Standard Time),1920
spatiotemporal_inconsistent,same,2,2,0,0,0,2,5,0,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:12:03 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:12:09 GMT-0500 (Eastern Standard Time),1880
spatiotemporal_inconsistent,new,1,1,3,4,0,3,0,5,-50,50,0,Chrome,2920932,Sun Dec 03 2023 09:12:09 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:12:15 GMT-0500 (Eastern Standard Time),1776
spatiotemporal_inconsistent,same,3,3,1,1,2,0,0,5,50,-50,1,Chrome,2920932,Sun Dec 03 2023 09:12:15 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:12:21 GMT-0500 (Eastern Standard Time),1551
spatiotemporal_inconsistent,new,0,0,4,1,1,4,5,0,50,-50,0,Chrome,2920932,Sun Dec 03 2023 09:12:21 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:12:27 GMT-0500 (Eastern Standard Time),2152
spatiotemporal_inconsistent,new,0,0,2,1,3,4,5,0,50,-50,0,Chrome,2920932,Sun Dec 03 2023 09:12:28 GMT-0500 (Eastern Standard Time),Sun Dec 03 2023 09:12:33 GMT-0500 (Eastern Standard Time),1784
