spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,new,1,4,3,3,2,0,0,5,-50,50,0,Chrome,7006931,Sat Dec 02 2023 16:14:59 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:15:05 GMT-0500 (Eastern Standard Time),1769
spatiotemporal_inconsistent,new,2,1,4,4,1,3,5,0,-50,50,0,Chrome,7006931,Sat Dec 02 2023 16:15:05 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:15:10 GMT-0500 (Eastern Standard Time),1441
spatiotemporal_inconsistent,new,4,0,2,2,1,0,5,0,-50,50,0,Chrome,7006931,Sat Dec 02 2023 16:15:12 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:15:21 GMT-0500 (Eastern Standard Time),5538
spatiotemporal_inconsistent,same_swap,0,1,1,0,0,2,5,0,50,-50,1,Chrome,7006931,Sat Dec 02 2023 16:15:42 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:15:47 GMT-0500 (Eastern Standard Time),1618
spatiotemporal_inconsistent,same_swap,4,2,2,4,1,0,0,5,50,-50,1,Chrome,7006931,Sat Dec 02 2023 16:15:47 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:15:53 GMT-0500 (Eastern Standard Time),2321
spatiotemporal_inconsistent,new,3,4,0,0,3,2,0,5,-50,50,0,Chrome,7006931,Sat Dec 02 2023 16:15:55 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:16:00 GMT-0500 (Eastern Standard Time),1466
spatiotemporal_inconsistent,same_swap,4,2,2,4,1,0,0,5,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:16:01 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:16:06 GMT-0500 (Eastern Standard Time),1705
spatiotemporal_inconsistent,same_swap,0,1,1,0,1,0,5,0,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:16:18 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:16:23 GMT-0500 (Eastern Standard Time),1449
spatiotemporal_inconsistent,new,2,2,1,0,1,4,0,5,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:16:25 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:16:30 GMT-0500 (Eastern Standard Time),1417
spatiotemporal_inconsistent,same,0,0,4,4,4,3,5,0,-50,50,0,Chrome,7006931,Sat Dec 02 2023 16:16:33 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:16:38 GMT-0500 (Eastern Standard Time),1537
spatiotemporal_inconsistent,same_swap,4,1,1,4,3,1,5,0,50,-50,1,Chrome,7006931,Sat Dec 02 2023 16:16:41 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:16:46 GMT-0500 (Eastern Standard Time),1697
spatiotemporal_inconsistent,new,0,4,3,3,4,3,0,5,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:16:48 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:16:54 GMT-0500 (Eastern Standard Time),1713
spatiotemporal_inconsistent,same_swap,2,3,3,2,0,2,5,0,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:16:55 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:01 GMT-0500 (Eastern Standard Time),1697
spatiotemporal_inconsistent,same,3,3,4,4,0,2,5,0,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:17:01 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:06 GMT-0500 (Eastern Standard Time),1226
spatiotemporal_inconsistent,new,2,3,1,1,0,3,5,0,-50,50,0,Chrome,7006931,Sat Dec 02 2023 16:17:06 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:12 GMT-0500 (Eastern Standard Time),1649
spatiotemporal_inconsistent,same,3,3,1,1,1,3,0,5,50,-50,1,Chrome,7006931,Sat Dec 02 2023 16:17:12 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:17 GMT-0500 (Eastern Standard Time),1873
spatiotemporal_inconsistent,new,0,0,4,1,3,4,5,0,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:17:18 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:23 GMT-0500 (Eastern Standard Time),1305
spatiotemporal_inconsistent,new,4,4,2,3,2,0,5,0,50,-50,1,Chrome,7006931,Sat Dec 02 2023 16:17:26 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:31 GMT-0500 (Eastern Standard Time),1729
spatiotemporal_inconsistent,new,1,1,4,3,4,1,5,0,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:17:31 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:38 GMT-0500 (Eastern Standard Time),2770
spatiotemporal_inconsistent,same,2,2,4,4,0,4,0,5,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:17:40 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:46 GMT-0500 (Eastern Standard Time),1625
spatiotemporal_inconsistent,same,0,0,2,2,1,4,5,0,50,-50,1,Chrome,7006931,Sat Dec 02 2023 16:17:46 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:51 GMT-0500 (Eastern Standard Time),1433
spatiotemporal_inconsistent,new,0,0,4,3,3,0,5,0,-50,50,0,Chrome,7006931,Sat Dec 02 2023 16:17:52 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:17:57 GMT-0500 (Eastern Standard Time),1553
spatiotemporal_inconsistent,same,1,1,4,4,3,0,0,5,-50,50,1,Chrome,7006931,Sat Dec 02 2023 16:17:57 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:18:02 GMT-0500 (Eastern Standard Time),1473
spatiotemporal_inconsistent,new,0,0,4,2,1,4,5,0,50,-50,0,Chrome,7006931,Sat Dec 02 2023 16:18:03 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:18:08 GMT-0500 (Eastern Standard Time),1642
spatiotemporal_inconsistent,same,0,0,1,1,3,4,5,0,50,-50,1,Chrome,7006931,Sat Dec 02 2023 16:18:08 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:18:14 GMT-0500 (Eastern Standard Time),1489
spatiotemporal_inconsistent,new,1,3,0,0,2,1,0,5,50,-50,0,Chrome,7006931,Sat Dec 02 2023 16:18:14 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:18:19 GMT-0500 (Eastern Standard Time),1561
spatiotemporal_inconsistent,same_swap,2,1,1,2,0,2,0,5,50,-50,1,Chrome,7006931,Sat Dec 02 2023 16:18:19 GMT-0500 (Eastern Standard Time),Sat Dec 02 2023 16:18:24 GMT-0500 (Eastern Standard Time),1418
