spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same,4,4,2,2,3,2,5,0,-50,50,1,Chrome,107427,Fri Dec 01 2023 17:55:23 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:55:30 GMT-0500 (Eastern Standard Time),2496
spatiotemporal_inconsistent,same_swap,1,3,3,1,1,0,5,0,-50,50,0,Chrome,107427,Fri Dec 01 2023 17:55:30 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:55:36 GMT-0500 (Eastern Standard Time),1624
spatiotemporal_inconsistent,same,2,2,0,0,4,0,5,0,50,-50,1,Chrome,107427,Fri Dec 01 2023 17:55:37 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:55:42 GMT-0500 (Eastern Standard Time),1272
spatiotemporal_inconsistent,same,0,0,3,3,3,2,5,0,50,-50,1,Chrome,107427,Fri Dec 01 2023 17:55:42 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:55:47 GMT-0500 (Eastern Standard Time),1455
spatiotemporal_inconsistent,same_swap,3,0,0,3,2,4,0,5,50,-50,1,Chrome,107427,Fri Dec 01 2023 17:55:48 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:55:53 GMT-0500 (Eastern Standard Time),1304
spatiotemporal_inconsistent,new,1,3,0,0,1,2,5,0,-50,50,1,Chrome,107427,Fri Dec 01 2023 17:55:54 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:55:59 GMT-0500 (Eastern Standard Time),1295
spatiotemporal_inconsistent,same_swap,0,4,4,0,3,0,5,0,-50,50,1,Chrome,107427,Fri Dec 01 2023 17:56:00 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:56:06 GMT-0500 (Eastern Standard Time),2553
spatiotemporal_inconsistent,same_swap,2,1,1,2,1,2,5,0,-50,50,1,Chrome,107427,Fri Dec 01 2023 17:56:07 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:56:13 GMT-0500 (Eastern Standard Time),1847
spatiotemporal_inconsistent,new,3,0,1,1,1,4,0,5,50,-50,0,Chrome,107427,Fri Dec 01 2023 17:56:13 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:56:19 GMT-0500 (Eastern Standard Time),1687
spatiotemporal_inconsistent,same_swap,4,0,0,4,0,3,5,0,50,-50,1,Chrome,107427,Fri Dec 01 2023 17:56:19 GMT-0500 (Eastern Standard Time),Fri Dec 01 2023 17:56:25 GMT-0500 (Eastern Standard Time),1359
